strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
EV-D68/Homosapiens/USA/SSENT10/2014	2014-09-19	B1	USA	North America	9	6-17y	<18y	<18y				Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.	KX351812	
USA/MA/2014-19183	2014-09-10	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995547	
EVD68/Homosapiens/USA/MO35/2014	2014-06-25 (2014-01-01 - 2014-12-31)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347275	
USA/OH/2014-19240	2014-09-17	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995604	
USA/PA/2014-19177	2014-09-08	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995538	
CAN14-187	2014-06-18 (2014-01-01 - 2014-12-31)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455280	
USA/OH/2014-19223	2014-08-27 (2014-06-14 - 2014-12-12)	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995587	
USA/SC/2014-19196	2014-09-08	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995562	
EVD68/Homosapiens/USA/MO41/2014	2014-09-07 (2014-07-11 - 2014-11-22)	B1	USA	North America			<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Schuster,J. and Selvarangan,R.	KT347247	
US/CA/14-4232	2014-12-31 (2014-11-05 - 2014-12-31)	B1	USA	North America						2019-07-15		Hixon,A., Yu,G., Tyler,K. and Chiu,C.Y.	KU844180	
